"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"51","All Fire","14110_49_51_52",0.0410286,"Great Lakes Wet-Mesic Lakeplain Prairie",1630,193,0,7.9185198
"52","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",1575,18815,0,5509.927594
"53","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",1603,6437,0,1885.0600012
"54","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",1631,5463,0,1599.8264388
"55","All Fire","14120_39_40_41_42_43_50_51",0.2928476,"North-Central Interior Sand and Gravel Tallgrass Prairie",1653,608,0,178.0513408
"56","All Fire","14200_39_40_42",0.1749512,"Northern Tallgrass Prairie",1654,6634,0,1160.6262608
"57","All Fire","14200_41",0.281598,"Northern Tallgrass Prairie",1604,7821,0,2202.377958
"58","All Fire","14210_31_38_42_43_44_50_51",0.2824352,"Central Tallgrass Prairie",1576,9858,0,2784.2462016
"59","All Fire","14440_41_50_51",0.0049654,"Eastern Boreal Floodplain",1605,705055,1.1,3500.880097
"60","All Fire","14440_41_50_51",0.0049654,"Eastern Boreal Floodplain",1633,90068,0.1,447.2236472
"61","All Fire","14440_41_50_51",0.0049654,"Eastern Boreal Floodplain",1577,12545,0,62.290943
"62","All Fire","14660_50_51",0.0021454,"Great Lakes Wooded Dune and Swale",1578,32167,0.1,69.0110818
"63","All Fire","14660_50_51",0.0021454,"Great Lakes Wooded Dune and Swale",1634,13046,0,27.9888884
"64","All Fire","14690_31_39_40_43",0.0204168,"Eastern Great Plains Floodplain Systems",1655,9,0,0.1837512
"65","All Fire","14710_41_50",0.0174338,"Central Interior and Appalachian Floodplain Systems",1579,17514,0,305.3355732
"66","All Fire","14710_41_50",0.0174338,"Central Interior and Appalachian Floodplain Systems",1606,19197,0,334.6766586
"67","All Fire","14710_51_62",0.01687,"Central Interior and Appalachian Floodplain Systems",1635,74339,0.1,1254.09893
"68","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1607,434621,0.7,7427.1513448
"69","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1636,223804,0.4,3824.5417952
"70","All Fire","14750_41_50_51_63_64_65_66",0.0170888,"Laurentian-Acadian Floodplain Systems",1580,180397,0.3,3082.7682536
"71","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1608,4275013,6.8,41218.8203434
"72","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1581,1712958,2.7,16515.9984444
"73","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1637,1388897,2.2,13391.4670946
"74","All Fire","14770_40_41_50_51",0.0096418,"Boreal Acidic Peatland Systems",1656,50985,0.1,491.587173
"75","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1609,36647,0.1,35.5769076
"76","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1582,8453,0,8.2061724
"77","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",1638,21007,0,20.3935956
"78","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1639,3593603,5.7,3590.009397
"79","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1583,1056194,1.7,1055.137806
"80","All Fire","14810_41_50_51_63",0.000999,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1610,1094690,1.7,1093.59531
"81","All Fire","14820_39_40",0.0197828,"Great Plains Prairie Pothole",1657,109,0,2.1563252
"82","All Fire","14930_41_42_44_50",0.0590382,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1612,31866,0.1,1881.3112812
"83","All Fire","14930_41_42_44_50",0.0590382,"Central Interior and Appalachian Shrub-Herbaceous Wetland Systems",1585,2660,0,157.041612
"84","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1613,785906,1.3,44365.3367872
"85","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1586,209832,0.3,11845.2681984
"86","All Fire","14940_41_50_51",0.0564512,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1641,1106,0,62.4350272
"87","All Fire","14950_31_39_40",0.0494932,"Western Great Plains Depressional Wetland Systems",1658,422,0,20.8861304
"88","All Fire","15170_42_49_50",0.0836212,"Paleozoic Plateau Bluff and Talus",1587,8763,0,732.7725756
"89","All Transitions","13010_40",0.0236062,"Boreal Aspen-Birch Forest",1646,5704,0,134.6497648
"90","All Transitions","13020_40",0.0016138,"Laurentian-Acadian Northern Hardwoods Forest",1647,29,0,0.0468002
"91","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,5221136,8.3,9328.0815776
"92","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1561,4826790,7.7,8623.543014
"93","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1588,3367389,5.4,6016.1771874
"94","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1562,3200465,5.1,5717.950769
"95","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,2241937,3.6,4005.4446442
"96","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1589,380744,0.6,680.2372304
"97","All Transitions","13023_51",0.0027784,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood",1616,101763,0.2,282.7383192
"98","All Transitions","13100_41_62",0.1116236,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1590,561561,0.9,62683.4604396
"99","All Transitions","13100_44_50",0.0440268,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1563,105714,0.2,4654.2491352
"100","All Transitions","13100_51",0.1164306,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1617,1291,0,150.3119046
"101","All Transitions","13110_50",0.0810696,"North-Central Interior Dry Oak Forest and Woodland",1564,12654,0,1025.8547184
"102","All Transitions","13110_51",0.1215258,"North-Central Interior Dry Oak Forest and Woodland",1618,9911,0,1204.4422038
"103","All Transitions","13130_47_50_51",0.1424086,"North-Central Interior Beech-Maple Forest",1565,32864,0.1,4680.1162304
"104","All Transitions","13130_47_50_51",0.1424086,"North-Central Interior Beech-Maple Forest",1619,36117,0.1,5143.3714062
"105","All Transitions","13140_38_39_40_41_42_43_44_50",0.142462,"North-Central Interior Maple-Basswood Forest",1591,492628,0.8,70180.770136
"106","All Transitions","13140_38_39_40_41_42_43_44_50",0.142462,"North-Central Interior Maple-Basswood Forest",1566,201633,0.3,28725.040446
"107","All Transitions","13140_38_39_40_41_42_43_44_50",0.142462,"North-Central Interior Maple-Basswood Forest",1648,157,0,22.366534
"108","All Transitions","13310_39_40_41",0.2205218,"Eastern Great Plains Tallgrass Aspen Parkland",1592,27154,0,5988.0489572
"109","All Transitions","13310_39_40_41",0.2205218,"Eastern Great Plains Tallgrass Aspen Parkland",1649,2733,0,602.6860794
"110","All Transitions","13440_41",0.013075,"Boreal Jack Pine-Black Spruce Forest",1593,768332,1.2,10045.9409
"111","All Transitions","13441_51",0.1932342,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",1620,654270,1,126427.340034
"112","All Transitions","13442_51",0.009817,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",1621,61190,0.1,600.70223
"113","All Transitions","13620_41_50",0.0939818,"Laurentian-Acadian Northern Pine(-Oak) Forest",2723,243,0,22.8375774
"114","All Transitions","13620_41_50",0.0939818,"Laurentian-Acadian Northern Pine(-Oak) Forest",2725,650,0,61.08817
"115","All Transitions","13620_51_63_64_65_66",0.0272662,"Laurentian-Acadian Northern Pine(-Oak) Forest",1622,2474894,3.9,67480.9547828
"116","All Transitions","13622_41_50",0.0303678,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",2724,2163502,3.4,65700.7960356
"117","All Transitions","13622_41_50",0.0303678,"Laurentian-Acadian Northern Pine(-Oak) Forest - Pine Dominated",2726,1896775,3,57600.883845
"118","All Transitions","13651_40_41_50",0.027585,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1596,2869819,4.6,79163.957115
"119","All Transitions","13651_40_41_50",0.027585,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1568,232481,0.4,6412.988385
"120","All Transitions","13651_40_41_50",0.027585,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1650,453,0,12.496005
"121","All Transitions","13651_51",0.0836148,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1623,1207476,1.9,100962.8642448
"122","All Transitions","13652_41",0.0194608,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",1597,551175,0.9,10726.30644
"123","All Transitions","13652_51",0.0173768,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",1624,731479,1.2,12710.7642872
"124","All Transitions","13653_41",0.0279418,"Boreal White Spruce-Fir-Hardwood Forest - Aspen-Birch",1598,3183156,5.1,88943.1083208
